sourceTaxonId	sourceTaxonName	sourceTaxonLifestage	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	SourceCitation	referenceDoi	referenceCitation
EOL:134423	Coenonympha tullia	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:1114583	Poa pratensis	GEONAMES:2638360	Scotland				Howarth, T.G. (1973) South's British Butterflies 1-210: 151		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:473255	Papestra biren	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:71277	Calluna	GEONAMES:2638360	Scotland				Heath, J. & Emmet, A.M. (eds) (1979) The Moths and Butterflies of Great Britain and Ireland 9 1-288: 223		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:473255	Papestra biren	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:819646	Tussilago farfara	GEONAMES:2638360	Scotland				Heath, J. & Emmet, A.M. (eds) (1979) The Moths and Butterflies of Great Britain and Ireland 9 1-288: 223		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:476736	Xanthia citrago	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:486446	Tilia cordata	GEONAMES:2638360	Scotland				Eds. Heath, J. & Emmet, A.M. (1983) The Moths and Butterflies of Great Britain and Ireland 10 1-459: 116		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:476736	Xanthia citrago	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:486445	Tilia X europaea	GEONAMES:2638360	Scotland				Eds. Heath, J. & Emmet, A.M. (1983) The Moths and Butterflies of Great Britain and Ireland 10 1-459: 116		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:3687266	Aleyrodes fragariae	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:229659	Fragaria vesca	GEONAMES:2638360	Scotland				Mound, L.A.(1966) Bull. Br. Mus. nat. Hist., B. 17: 9 399-428: 406		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:3687266	Aleyrodes fragariae	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:483313	Glechoma hederacea	GEONAMES:2638360	Scotland				Mound, L.A.(1966) Bull. Br. Mus. nat. Hist., B. 17: 9 399-428: 406		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:134423	Coenonympha tullia	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:1115039	Molinia caerulea	GEONAMES:2638360	Scotland				Heath, J., Pollard, E. & Thomas, J. (1984) Atlas of Butterflies in Britain and Ireland 1-158: 134		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:406153	Hyles gallii	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:29276	Galium	GEONAMES:2638360	Scotland				Heath, J. & Emmet, A.M. (eds) (1979) The Moths and Butterflies of Great Britain and Ireland 9 1-288: 34		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
EOL:699215	Tomicus piniperda	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002470	Eats	EOL:34193	Larix	GEONAMES:2638360	Scotland				Munro, J.W.(1926) Bull. For. Commn, Lond. 8 1-77: 52		Welcome to UKmoths, your online guide to the moths of Great Britain and Ireland. UKMoths. Guide to the moths of Great Britain and Ireland. Accessed March 27, 2017. http://www.ukmoths.org.uk/.
